sepal length,sepal width,petal length,petal width,New Feature 1,New Feature 2,class
5.1,3.5,1.4,0.2,1.611281201,2.9811477589999997,1
4.9,3.0,1.4,0.2,1.295846922,2.210908485,1
4.7,3.2,1.3,0.2,1.6855781890000001,3.114562486,1
4.6,3.1,1.5,0.2,1.5460636509999999,2.714976589,1
5.0,3.6,1.4,0.2,1.5014643319999998,2.8156030839999997,1
5.4,3.9,1.7,0.4,1.3258347940000001,2.235803367,1
4.6,3.4,1.4,0.3,1.529385945,2.7920324360000004,1
5.0,3.4,1.5,0.2,1.331027778,2.278499398,1
4.4,2.9,1.4,0.2,1.147872526,1.976229217,1
4.9,3.1,1.5,0.1,1.4015046969999998,2.434789096,1
5.4,3.7,1.5,0.2,1.340573505,2.38020317,1
4.8,3.4,1.6,0.2,1.259046818,2.2965532019999997,1
4.8,3.0,1.4,0.1,1.526364639,2.794598904,1
4.3,3.0,1.1,0.1,1.3146447270000001,2.2628490130000003,1
5.8,4.0,1.2,0.2,1.495579711,2.5901917009999997,1
5.4,3.9,1.3,0.4,1.6516067330000002,3.04506388,1
5.1,3.5,1.4,0.3,1.1818816779999999,2.0881361000000003,1
5.7,3.8,1.7,0.3,1.432862651,2.460808468,1
5.1,3.8,1.5,0.3,1.193631739,2.108733088,1
5.4,3.4,1.7,0.2,1.426801293,2.667966556,1
5.1,3.7,1.5,0.4,1.4883977990000001,2.5672174080000003,1
4.6,3.6,1.0,0.2,1.318043692,2.406205482,1
5.1,3.3,1.7,0.5,1.4816315169999998,2.7223062610000004,1
4.8,3.4,1.9,0.2,1.364507139,2.445791678,1
5.0,3.0,1.6,0.2,1.331239423,2.51312354,1
5.0,3.4,1.6,0.4,1.276305438,2.3641658309999998,1
5.2,3.5,1.5,0.2,1.506482576,2.7513814119999997,1
5.2,3.4,1.4,0.2,1.393675192,2.655550283,1
4.7,3.2,1.6,0.2,1.518188006,2.866449396,1
4.8,3.1,1.6,0.2,1.3539269090000001,2.613555551,1
5.4,3.4,1.5,0.4,1.582769715,2.916997795,1
5.2,4.1,1.5,0.1,1.38730271,2.60468973,1
4.9,3.1,1.5,0.1,1.52966427,2.726083532,1
5.0,3.2,1.2,0.2,1.5383687780000002,2.761824284,1
5.5,3.5,1.3,0.2,1.188148398,2.034878611,1
4.9,3.1,1.5,0.1,1.162524956,2.052630219,1
4.4,3.0,1.3,0.2,1.660011537,3.058626233,1
5.1,3.4,1.5,0.2,1.418100687,2.674177635,1
5.0,3.5,1.3,0.3,1.432588514,2.51882525,1
4.5,2.3,1.3,0.3,1.1515265909999999,2.008273625,1
4.4,3.2,1.3,0.2,1.254935948,2.13313103,1
5.0,3.5,1.6,0.6,1.318162402,2.210588027,1
5.1,3.8,1.9,0.4,1.507755666,2.7519119130000003,1
4.8,3.0,1.4,0.3,1.335090987,2.3317039090000002,1
5.1,3.8,1.6,0.2,1.348846576,2.321883958,1
4.6,3.2,1.4,0.2,1.3847792719999998,2.33738095,1
5.3,3.7,1.5,0.2,1.343922047,2.399106483,1
5.0,3.3,1.4,0.2,1.407968726,2.527277215,1
7.0,3.2,4.7,1.4,1.410241637,3.5028491039999996,2
6.4,3.2,4.5,1.5,1.473089604,3.8156516519999997,2
6.9,3.1,4.9,1.5,1.428253639,3.611537465,2
5.5,2.3,4.0,1.3,1.2919285440000001,3.252071387,2
6.5,2.8,4.6,1.5,1.16038519,3.028983793,2
5.7,2.8,4.5,1.3,1.420478507,3.7231767010000003,2
6.3,3.3,4.7,1.6,1.6568562740000001,4.119626783,2
4.9,2.4,3.3,1.0,1.2562734009999998,3.266179464,2
6.6,2.9,4.6,1.3,1.453159743,3.695087505,2
5.2,2.7,3.9,1.4,1.24310911,3.216650025,2
5.9,3.0,4.2,1.5,1.607941279,3.954652608,2
6.0,2.2,4.0,1.0,1.29044212,3.341622973,2
6.1,2.9,4.7,1.4,1.307353522,3.2873084830000003,2
5.6,2.9,3.6,1.3,1.421204291,3.538138886,2
6.7,3.1,4.4,1.4,1.349818582,3.6028740239999997,2
5.6,3.0,4.5,1.5,1.153334029,3.0557608469999997,2
5.8,2.7,4.1,1.0,1.293767136,3.4552905060000003,2
6.2,2.2,4.5,1.5,1.481827641,3.776181935,2
5.6,2.5,3.9,1.1,1.472725824,3.5805549739999996,2
5.9,3.2,4.8,1.8,1.274665811,3.4274186739999997,2
6.1,2.8,4.0,1.3,1.577836179,3.8647726860000002,2
6.3,2.5,4.9,1.5,1.490223769,3.7054242619999997,2
6.1,2.8,4.7,1.2,1.368105064,3.299034828,2
6.4,2.9,4.3,1.3,1.6183822380000001,3.9626228489999997,2
6.6,3.0,4.4,1.4,1.2317388740000002,3.332049467,2
6.8,2.8,4.8,1.4,1.289028459,3.207606563,2
6.7,3.0,5.0,1.7,1.362725171,3.34123394,2
6.0,2.9,4.5,1.5,1.61105845,3.924067144,2
5.7,2.6,3.5,1.0,1.417759419,3.6834515619999997,2
5.5,2.4,3.8,1.1,1.247932324,3.253617336,2
5.5,2.4,3.7,1.0,1.1813719329999999,3.146537187,2
5.8,2.7,3.9,1.2,1.461590445,3.68175528,2
6.0,2.7,5.1,1.6,1.313325981,3.5763577810000005,2
5.4,3.0,4.5,1.5,1.23287793,3.151075413,2
6.0,3.4,4.5,1.6,1.6575364780000001,4.112048422,2
6.7,3.1,4.7,1.5,1.283896954,3.327672145,2
6.3,2.3,4.4,1.3,1.4882859830000001,3.8637741310000004,2
5.6,3.0,4.1,1.3,1.465484812,3.655022283,2
5.5,2.5,4.0,1.3,1.158703289,2.9993614689999997,2
5.5,2.6,4.4,1.2,1.244883427,3.310738062,2
6.1,3.0,4.6,1.4,1.2353546309999999,3.231258426,2
5.8,2.6,4.0,1.2,1.358843732,3.600855525,2
5.0,2.3,3.3,1.0,1.227178914,3.225726042,2
5.6,2.7,4.2,1.3,1.324863608,3.31325475,2
5.7,3.0,4.2,1.2,1.219522757,3.162593981,2
5.7,2.9,4.2,1.3,1.649197644,4.1102447380000005,2
6.2,2.9,4.3,1.3,1.321850166,3.26443383,2
5.1,2.5,3.0,1.1,1.412758067,3.454965665,2
5.7,2.8,4.1,1.3,1.266084114,3.2473300189999996,2
6.3,3.3,6.0,2.5,1.229861123,4.178191541,3
5.8,2.7,5.1,1.9,1.5019835119999998,4.876983751,3
7.1,3.0,5.9,2.1,1.1682225609999999,4.168819686,3
6.3,2.9,5.6,1.8,1.464095294,4.877883083,3
6.5,3.0,5.8,2.2,1.320332841,4.432048902,3
7.6,3.0,6.6,2.1,1.430539248,4.65269466,3
4.9,2.5,4.5,1.7,1.179814379,4.171285021,3
7.3,2.9,6.3,1.8,1.4888366569999998,4.943551827,3
6.7,2.5,5.8,1.8,1.558915569,5.093263795,3
7.2,3.6,6.1,2.5,1.345698394,4.600503483,3
6.5,3.2,5.1,2.0,1.221435789,4.222769295,3
6.4,2.7,5.3,1.9,1.39616047,4.729224649,3
6.8,3.0,5.5,2.1,1.3852196419999998,4.549018095,3
5.7,2.5,5.0,2.0,1.346744896,4.516979068,3
5.8,2.8,5.1,2.4,1.3802765719999999,4.7062419239999995,3
6.4,3.2,5.3,2.3,1.3104858990000001,4.564414789,3
6.5,3.0,5.5,1.8,1.342560878,4.585719946,3
7.7,3.8,6.7,2.2,1.4038168309999999,4.815113267,3
7.7,2.6,6.9,2.3,1.179472729,4.177202915,3
6.0,2.2,5.0,1.5,1.4601910009999999,4.757025813,3
6.9,3.2,5.7,2.3,1.506398011,4.89285224,3
5.6,2.8,4.9,2.0,1.306513586,4.554019169,3
7.7,2.8,6.7,2.0,1.4049686369999999,4.624270451,3
6.3,2.7,4.9,1.8,1.437719694,4.633127311,3
6.7,3.3,5.7,2.1,1.596272415,5.10483803,3
7.2,3.2,6.0,1.8,1.430233923,4.693037456,3
6.2,2.8,4.8,1.8,1.2203609420000001,4.172509057,3
6.1,3.0,4.9,1.8,1.417939625,4.7219144360000005,3
6.4,2.8,5.6,2.1,1.476429259,4.860868096,3
7.2,3.0,5.8,1.6,1.1206683290000001,3.994187498,3
7.4,2.8,6.1,1.9,1.327588005,4.494880303,3
7.9,3.8,6.4,2.0,1.542274283,4.989385812,3
6.4,2.8,5.6,2.2,1.150043577,4.053019925,3
6.3,2.8,5.1,1.5,1.412454593,4.662782541,3
6.1,2.6,5.6,1.4,1.401033045,4.702212203,3
7.7,3.0,6.1,2.3,1.211413006,4.16572545,3
6.3,3.4,5.6,2.4,1.26947767,4.5155499180000005,3
6.4,3.1,5.5,1.8,1.4126032030000002,4.593120585,3
6.0,3.0,4.8,1.8,1.4886189890000001,4.857392838,3
6.9,3.1,5.4,2.1,1.270318836,4.378299053,3
6.7,3.1,5.6,2.4,1.491014734,4.753491003,3
6.9,3.1,5.1,2.3,1.46911371,4.7102813580000005,3
5.8,2.7,5.1,1.9,1.273977168,4.309591211,3
6.8,3.2,5.9,2.3,1.37168857,4.660687366,3
6.7,3.3,5.7,2.5,1.4099679280000001,4.520793142,3
6.7,3.0,5.2,2.3,1.491191067,4.936018265,3
6.3,2.5,5.0,1.9,1.259320201,4.360127366,3
6.5,3.0,5.2,2.0,1.419001833,4.583592166,3
6.2,3.4,5.4,2.3,1.131173224,4.027495265,3
5.9,3.0,5.1,1.8,1.22854427,4.3344540039999995,3
